City,2010 Census,Total_Sales,Land Area,Households with Under 18,Population Density,Total Families
Buffalo,4585,185328,3116,746,2,1820
Casper,35316,317736,3894,7788,11,8756
Cheyenne,59466,917892,1500,7158,20,14613
Cody,9520,218376,2999,1403,2,3516
Douglas,6120,208008,1829,832,1,1744
Evanston,12359,283824,999,1486,5,2713
Gillette,29087,543132,2749,4052,6,7189
Powell,6314,233928,2674,1251,2,3134
Riverton,10615,303264,4797,2680,2,5556
RockSprings,23036,253584,6620,4022,3,7572
Sheridan,17444,308232,1894,2646,9,6040
